Location ID,No.,Date/Time,Name,CardNo
3,10002,8/1/2018 9:27:00,10002,
3,10003,7/31/2018 9:37:11,10003,
1,10003,7/31/2018 17:21:51,10003,
1,10003,7/31/2018 17:21:58,10003,
3,10003,8/1/2018 9:51:04,10003,
3,10005,7/31/2018 9:03:07,10005,
1,10005,7/31/2018 17:24:38,10005,
1,10005,7/31/2018 18:27:55,10005,
3,10005,7/31/2018 18:31:08,10005,
3,10005,8/1/2018 9:07:37,10005,
5,10020,7/31/2018 8:42:57,10020,
5,10020,8/1/2018 8:47:58,10020,
5,10021,7/31/2018 8:46:55,10021,
5,10021,8/1/2018 8:41:28,10021,
4,10023,7/31/2018 8:33:41,10023,
4,10023,7/31/2018 20:26:00,10023,
5,10023,8/1/2018 8:24:03,10023,
50,10024,7/31/2018 8:25:23,10024,
50,10024,7/31/2018 17:27:48,10024,
50,10024,7/31/2018 17:27:51,10024,
50,10024,8/1/2018 8:26:57,10024,
20,10026,7/31/2018 8:43:22,10026,
20,10026,8/1/2018 8:49:14,10026,
5,10027,7/31/2018 8:28:36,10027,
4,10027,7/31/2018 20:28:59,10027,
5,10027,8/1/2018 8:24:12,10027,
5,10029,7/31/2018 8:23:12,10029,
5,10029,7/31/2018 21:25:40,10029,
5,10029,8/1/2018 8:25:48,10029,
4,10031,7/31/2018 8:26:23,10031,
4,10031,7/31/2018 20:32:12,10031,
5,10031,8/1/2018 8:27:18,10031,
5,10032,7/31/2018 8:31:07,10032,
6,10032,7/31/2018 20:32:02,10032,
5,10032,8/1/2018 8:26:57,10032,
5,10035,7/31/2018 8:26:27,10035,
5,10035,7/31/2018 20:28:23,10035,
5,10035,8/1/2018 8:26:05,10035,
5,10036,7/31/2018 8:27:52,10036,
4,10036,7/31/2018 8:28:08,10036,
5,10036,7/31/2018 21:31:10,10036,
4,10036,7/31/2018 21:31:31,10036,
5,10036,8/1/2018 8:32:21,10036,
4,10036,8/1/2018 8:32:41,10036,
4,10038,7/31/2018 8:32:48,10038,
4,10038,7/31/2018 20:32:50,10038,
4,10038,8/1/2018 8:34:00,10038,
50,10039,7/31/2018 8:23:08,10039,
50,10039,8/1/2018 8:22:35,10039,
58,10049,8/1/2018 8:37:00,10049,
58,10052,7/31/2018 8:33:05,10052,
